Model,AUC,Precision,Recall,F1,MCC,Kappa,LogLoss
AdaBoost,0.9296875,0.2696629213483146,1.0,0.4247787610619469,0.29509092104873924,0.16020671834625333,0.5073707327048639
LDA,0.9140625,0.45098039215686275,0.9583333333333334,0.6133333333333333,0.5394365199191186,0.46886446886446886,0.4842949625455246
